,Unnamed: 0,h_t,d_t,cloud,ISCCP,h_t_next,d_t_next,cloud_next,ISCCP_next,dh,dd,bincenter_h,bincenter_d
2130,2130,1000.6102159503656,0.1358742275387077,cloud,2.0,933.5256362649236,0.7239352447149147,cloud,2.0,-67.08457968544201,0.588061017176207,1000.0,0
2586,2586,1139.2373420528618,0.0258972337312561,cloud,2.0,8655.356720484668,0.1678398104860061,cloud,4.0,7516.119378431806,0.14194257675475,1000.0,0
3579,3579,1091.03743114969,0.0617098926551354,cloud,2.0,871.5362157551901,0.6221232079043751,cloud,2.0,-219.50121539449992,0.5604133152492398,1000.0,0
3623,3623,1045.8317711839716,0.0467522726534022,cloud,2.0,2012.281092719538,1.0838036068638344,cloud,3.0,966.4493215355665,1.0370513342104322,1000.0,0
3682,3682,1019.2326484528996,0.1199951686993643,cloud,2.0,1239.0448598328635,0.9220597672119571,cloud,2.0,219.81221137996386,0.8020645985125928,1000.0,0
4572,4572,1044.249641488875,-0.0779678646449136,cloud,2.0,827.7007655159457,-0.300314316553624,cloud,2.0,-216.5488759729294,-0.22234645190871039,1000.0,0
5736,5736,982.9545774665644,-0.0564018055983849,cloud,2.0,1037.7192288986266,0.7798246766851307,cloud,2.0,54.76465143206224,0.8362264822835156,1000.0,0
5770,5770,1039.0984855185682,0.0448926257339226,cloud,2.0,1192.1525374411435,0.8147983825717556,cloud,2.0,153.05405192257535,0.769905756837833,1000.0,0
5897,5897,924.2130041617828,0.0221632753055034,cloud,2.0,7608.214122957999,1.723002527822666,cloud,6.0,6684.001118796216,1.7008392525171625,1000.0,0
7252,7252,872.9790355008537,0.1481955937587368,cloud,2.0,555.9470962815692,-0.0219482176448871,cloud,2.0,-317.0319392192845,-0.17014381140362392,1000.0,0
8038,8038,891.2252721513955,0.0019484209346509,cloud,2.0,1612.6701680499336,0.9042416696432012,cloud,2.0,721.4448958985381,0.9022932487085503,1000.0,0
8581,8581,898.0414286641059,-0.091259759133649,cloud,2.0,525.735069311276,-0.6385701106627448,cloud,2.0,-372.3063593528299,-0.5473103515290958,1000.0,0
10333,10333,906.7079377168666,-0.0751237418643867,cloud,2.0,642.7370884410959,0.1526197251983171,cloud,2.0,-263.97084927577066,0.2277434670627038,1000.0,0
11820,11820,1096.447639764461,0.0585947695692715,cloud,2.0,262.594325592133,1.755253185192332,cloud,5.0,-833.853314172328,1.6966584156230606,1000.0,0
12506,12506,926.2423986749818,-0.0083510222081889,cloud,2.0,1074.6210129219014,0.4074612334455142,cloud,2.0,148.3786142469196,0.4158122556537031,1000.0,0
13000,13000,1114.7989905006275,0.0179562662523556,cloud,2.0,1405.1089026163245,0.6525889306121444,cloud,2.0,290.309912115697,0.6346326643597888,1000.0,0
13556,13556,982.3292693741972,-0.1446883629673874,cloud,2.0,9028.678316407691,0.224052302748417,cloud,4.0,8046.349047033495,0.36874066571580444,1000.0,0
14545,14545,1021.1950301792588,-0.1339718257728144,cloud,2.0,1162.5958861088905,1.6764625870812115,cloud,5.0,141.4008559296317,1.810434412854026,1000.0,0
15654,15654,1135.3196189057055,0.1280511357507201,cloud,2.0,1141.2129551902435,2.0519846756288604,cloud,5.0,5.893336284538009,1.9239335398781403,1000.0,0
16207,16207,1006.9887279571612,0.1352656915431005,cloud,2.0,1052.258822676358,0.1998219166816391,cloud,2.0,45.27009471919678,0.06455622513853859,1000.0,0
16934,16934,875.4307609494247,0.139046647655165,cloud,2.0,603.3529193358704,0.7424168373913246,cloud,2.0,-272.07784161355426,0.6033701897361596,1000.0,0
17650,17650,908.3283263131092,-0.1017204913938744,cloud,2.0,438.6870828460941,0.0399144559428074,cloud,2.0,-469.6412434670151,0.1416349473366818,1000.0,0
18404,18404,1004.145406736334,0.0768888462799081,cloud,2.0,2020.0298409496445,0.0081787661524366,cloud,3.0,1015.8844342133104,-0.0687100801274715,1000.0,0
18406,18406,912.8037588913244,-0.0705806696615249,cloud,2.0,1892.0786842092944,-0.4470981767088003,cloud,2.0,979.27492531797,-0.3765175070472754,1000.0,0
18838,18838,998.3441485700268,0.0787782166907079,cloud,2.0,535.6706456174679,-1.0640644305862588,cloud,2.0,-462.6735029525589,-1.1428426472769666,1000.0,0
18896,18896,854.8689198051065,0.0248312709939821,cloud,2.0,1628.007614904703,1.5538513212019196,cloud,5.0,773.1386950995964,1.5290200502079374,1000.0,0
19155,19155,1112.287769066815,0.0400663626454991,cloud,2.0,1402.121304400256,-0.4626807546155259,cloud,2.0,289.833535333441,-0.502747117261025,1000.0,0
19893,19893,870.5356671409965,-0.1292849313485979,cloud,2.0,953.4507236248908,-0.5219386793522505,cloud,2.0,82.91505648389432,-0.3926537480036526,1000.0,0
20564,20564,923.7682055476308,0.0796533218024935,cloud,2.0,1053.5590598710075,-0.2160336164323564,cloud,2.0,129.79085432337672,-0.2956869382348499,1000.0,0
